SSDSE-C-2024,2021-2023年,City,LA03,LB00,LB01,LB011001,LB012001,LB012002,LB013001,LB013002,LB013003,LB013004,LB013005,LB013006,LB013007,LB014001,LB014002,LB014003,LB02,LB021101,LB021102,LB021103,LB021104,LB021105,LB021106,LB021107,LB021108,LB021109,LB021110,LB021111,LB021112,LB021113,LB021114,LB021115,LB021116,LB021201,LB021202,LB021203,LB021204,LB021205,LB022001,LB022002,LB022003,LB022004,LB022006,LB023001,LB023002,LB023003,LB023004,LB024001,LB024002,LB024003,LB024004,LB024005,LB03,LB031001,LB031002,LB031003,LB031004,LB031005,LB032001,LB032002,LB032003,LB032004,LB04,LB041001,LB042001,LB042002,LB042003,LB042004,LB042005,LB043001,LB05,LB051101,LB051102,LB051103,LB051104,LB051105,LB051106,LB051107,LB051108,LB051201,LB051202,LB051203,LB051204,LB051205,LB051206,LB051207,LB051208,LB051209,LB051210,LB051301,LB051302,LB051303,LB051304,LB051305,LB051306,LB051307,LB051308,LB051309,LB051310,LB051311,LB052001,LB052002,LB052003,LB052004,LB052005,LB052006,LB053001,LB053002,LB053003,LB053004,LB054001,LB054002,LB054003,LB054004,LB054005,LB054006,LB054007,LB054008,LB06,LB061001,LB061002,LB061004,LB061005,LB061006,LB061007,LB061008,LB061009,LB061010,LB061011,LB061012,LB061013,LB061014,LB061015,LB062001,LB07,LB071001,LB071002,LB072001,LB072002,LB072003,LB072004,LB072005,LB072006,LB072007,LB072008,LB072009,LB072010,LB072011,LB072012,LB072013,LB072014,LB072015,LB072016,LB08,LB080001,LB080002,LB080003,LB080004,LB080005,LB080006,LB080007,LB080008,LB080009,LB080010,LB080011,LB080012,LB080013,LB080014,LB080015,LB080016,LB09,LB091001,LB091002,LB091003,LB091004,LB091005,LB092001,LB092002,LB092003,LB092004,LB092005,LB092006,LB092007,LB092008,LB092009,LB092010,LB092011,LB092012,LB10,LB101001,LB101002,LB101003,LB101004,LB102001,LB102002,LB102003,LB103001,LB103002,LB103003,LB103004,LB103005,LB103006,LB103007,LB11,LB110001,LB110002,LB110003,LB110004,LB110005,LB110006,LB110007,LB110008,LB12,LB121101,LB121102,LB121103,LB121104,LB121105,LB121106,LB121107,LB121108,LB121109,LB121110,LB121201,LB121202,LB122001
R09201,栃木県,宇都宮市,2.89,1025725,76964,18479,10544,20407,3551,2327,1543,4863,6164,1955,779,625,1820,3908,71636,7493,596,253,1679,610,4647,544,384,512,1744,1432,1077,2391,1500,4954,4736,486,392,516,1181,281,2789,2314,2313,558,6428,1975,1459,2608,1506,694,3636,984,3264,3701,86287,16798,31533,15627,1834,2230,5251,7618,2703,2693,49130,14634,641,14812,1217,7270,670,9886,109773,2758,1897,994,2839,2619,2613,945,6553,1332,2550,717,1906,2452,1026,3872,794,580,3486,1575,1525,3600,2098,8784,2320,1872,1817,988,2828,4666,393,211,2788,1682,676,2772,4966,2618,5418,1487,1680,1721,908,530,5844,1336,461,2277,45027,5235,5343,700,2656,3297,2634,955,956,1284,740,4855,5631,2377,4579,3785,48665,4822,571,458,1665,2299,1005,697,884,686,1506,2782,1243,1226,4259,2712,1675,5100,15075,97400,1041,964,8753,786,7992,2382,1996,10111,7881,5148,6007,2239,6533,2405,11901,21262,157804,21853,13699,5255,7704,19866,2815,8778,2072,2284,13870,1309,3364,3249,1897,10567,2571,36651,69763,3801,829,1514,11340,7306,5166,385,7457,8606,5648,2700,3610,2042,9359,45484,6390,6383,11261,3315,3389,8369,5214,1163,167791,8129,11236,3206,16209,26986,5780,16710,6827,6997,37550,7447,9431,11284
R10201,群馬県,前橋市,2.80,970070,80153,21711,9663,23167,4681,2217,1325,4466,4944,1743,578,717,1517,3423,70113,7111,605,317,1185,555,5521,696,358,512,1700,1296,987,2043,946,5568,4308,532,332,716,1048,357,2109,2783,1757,744,5729,1904,1866,2578,1478,844,3797,1101,3325,3403,75102,12020,28707,13057,1862,2032,5050,6995,2379,3002,49670,14921,398,15781,1293,7227,733,9315,106639,2439,1863,928,2711,2362,2037,818,6146,1153,2637,698,1557,2290,909,3395,756,503,3328,1686,1606,4060,1681,9380,2150,2130,1639,1154,2633,4133,488,156,3109,1623,661,2628,5013,2700,6203,745,1506,1181,1301,592,5918,1296,395,2344,45292,6477,4691,498,2462,2585,3107,569,905,1262,707,5127,5566,2177,4661,4499,45045,4336,649,468,1585,2092,1039,836,654,623,1371,3026,1613,1215,4011,2333,1560,4607,13027,92000,619,1245,8376,835,7469,2427,1792,9139,6653,3907,5087,2037,6366,2025,10863,23159,151325,24868,17666,5196,7720,18872,1907,5954,1680,2141,11907,1186,2083,2465,1519,9977,2596,33588,72322,3678,940,1552,10539,7496,5448,358,8400,6969,8350,2549,4861,1833,9350,39357,5933,4967,9785,2374,3852,7203,3866,1377,143050,7660,7385,3845,11335,17453,3949,12157,7239,5549,38499,5885,9825,12270
R11100,埼玉県,さいたま市,3.05,1117566,82203,20549,10502,24305,3737,2062,1642,4972,5313,2191,851,626,1624,3832,72148,7030,867,335,1554,604,5593,779,361,842,2494,1538,1254,2542,1123,6441,3830,499,357,572,816,369,2211,2112,1891,842,6156,1701,1412,2652,1793,755,3349,749,3230,3495,98347,18638,37104,18184,3086,2779,4805,7725,2903,3124,54025,15648,1027,15348,1475,8604,824,11100,119689,2791,2098,1100,3787,2916,2844,993,7397,1109,2984,731,1793,2991,980,4229,1127,786,3516,2473,1907,3829,2506,9964,2910,2050,1721,1142,2927,6106,358,284,3113,1589,634,2869,5395,2877,4955,990,1669,1685,884,635,5946,1002,311,2783,44221,4013,4508,609,2397,1926,3288,835,1069,1511,1327,4850,5141,2815,5383,4547,49672,4856,526,439,1613,2261,875,748,745,729,1326,2639,1516,1353,4605,2635,1709,5346,15754,106959,691,699,9020,940,9268,2281,2227,11528,6543,5261,6301,2393,8084,2660,13412,25652,169828,22274,15383,7310,8129,23183,3000,7561,1879,2116,12470,1327,2299,3478,1856,11147,5932,40486,70887,3192,1249,1879,9925,7644,5500,429,8455,8991,5319,2795,4974,1460,9072,49344,5132,4899,12560,2312,5261,10570,7091,1520,200243,6974,8122,3288,15224,23933,3947,11988,8939,7400,70563,10326,16269,13271
R12100,千葉県,千葉市,2.73,1092272,81668,20073,11200,24522,3600,2193,1519,4548,5222,1957,849,613,1759,3615,80920,7355,1193,555,1813,836,5908,841,414,1118,3021,1689,1100,2777,1400,6490,4769,597,387,862,1222,534,2262,2084,1940,1007,7108,2149,1602,3533,1997,929,3762,1113,3001,3554,93694,20854,32788,16805,2259,2234,5204,7639,2908,3002,55136,17053,594,15737,1544,7854,734,11619,124642,2913,2280,1171,3937,2939,2578,875,7979,1249,3064,927,1859,2653,1023,4414,1182,1046,3990,2813,1974,4075,2807,10589,2727,2138,1816,1075,2603,6072,511,468,3430,1897,735,3094,5314,2946,4950,981,1675,1411,1163,690,6431,1165,404,2611,50969,5612,4390,701,3097,4044,3331,1474,1172,1789,1553,4508,5794,3219,5834,4450,49217,4840,577,426,1575,2321,985,822,700,716,1372,2568,1673,1285,4424,2827,1551,5018,15537,99219,1060,696,9497,995,9132,2339,1963,11013,7150,4936,4856,2089,7103,1885,10737,23767,167340,23849,16709,6153,8739,21252,2808,8012,1960,2417,12158,1201,2524,3264,1587,13302,1646,39758,69176,4238,1161,1642,10053,7617,5070,381,7759,7803,4847,2661,4522,1929,9490,48396,5989,5448,11961,3031,6175,9184,5187,1421,171895,5299,7096,3008,14276,21728,5821,12253,6211,7075,60425,8345,11609,8748
R13100,東京都,東京都区部,2.89,1158785,81898,19396,11734,24302,3297,2234,1722,4942,4797,2060,970,609,1854,3982,81397,7788,1110,431,1753,682,5624,715,497,1140,2902,1715,1367,3022,1247,7443,5170,685,383,986,1450,470,2031,2427,2153,830,6584,2117,1461,2942,1838,783,3827,888,3095,3843,105149,23826,36541,19083,3253,2865,5756,7278,3079,3469,54723,16320,862,14658,1720,9368,888,10908,126801,3049,2322,1281,4144,3211,2829,1094,9276,1252,3086,887,1981,2732,957,4292,1170,946,4067,3105,1887,3966,2622,10298,2998,2027,1676,1157,3080,6728,393,422,3247,1624,735,3098,5477,3007,4501,872,1771,1832,1075,639,5808,1069,339,2774,46618,4462,4808,653,2839,1857,3575,1212,1241,1803,1035,4187,4962,2520,6572,4893,50355,5038,570,500,1608,2137,919,840,706,717,1365,2399,1692,1194,4379,3031,1502,5243,16514,101153,1225,537,9415,956,8936,2243,1898,11678,6728,5569,5694,2268,7217,2324,11386,23079,174852,23106,15982,5974,9084,21319,3281,8061,2073,2399,12893,1577,2127,3412,1615,9914,4354,47680,69350,4020,1246,1802,8740,8782,5078,350,7604,7826,5442,2862,5108,1263,9228,54562,6070,6152,14301,3466,8266,8284,5934,2089,211926,6148,7424,3415,16174,25335,6738,14794,7814,6315,77982,11598,21039,7152
R14100,神奈川県,横浜市,2.84,1087765,82392,20849,11329,22720,3460,2627,1689,4948,5094,2167,1097,613,1667,4129,79523,7801,1177,415,1427,565,5125,715,440,1099,3012,1581,1247,3044,1418,7007,5069,524,315,928,1275,601,2095,2223,2097,1021,6816,2232,1510,3243,1876,993,3287,852,2941,3551,102056,23118,35808,17727,3263,2433,6186,7498,2925,3096,52132,15566,705,13931,1541,8219,1051,11118,125699,3164,2309,1241,4092,2995,3026,1037,8801,1239,3406,944,1882,2909,1023,4615,1179,950,3993,3000,2078,4117,2878,9715,2971,1992,1713,1100,2798,6312,401,454,3232,1700,699,3318,5129,2651,4572,918,1603,1631,1098,738,5838,1251,391,2598,44478,4181,4530,728,2490,1792,3030,1027,935,1393,934,4312,4756,2651,6381,5340,50018,5024,645,446,1696,2165,1012,871,751,754,1497,2512,1500,1346,4444,2894,1457,4906,16098,99728,722,622,9127,964,8534,2189,2069,11353,6840,5486,5748,2158,7196,2058,10688,23976,158501,21258,14508,5807,7688,20275,2433,6999,2204,2282,12260,2428,1747,3232,1347,10891,4013,39129,65897,4465,1262,1654,9107,7464,4195,467,7677,7807,4382,2563,4923,1354,8577,49255,5898,6394,12012,2915,7512,8589,4403,1531,178087,5430,6468,2650,14973,24727,7444,15536,6534,5448,58439,10076,13086,7274
R15100,新潟県,新潟市,3.10,1024877,88960,26224,11137,23014,2800,3044,1665,5185,6975,2592,598,589,2159,2978,76116,3531,700,331,1096,1410,6381,607,429,570,2766,1990,970,2742,1234,5327,4239,537,364,629,1172,613,5035,2860,999,362,7610,1839,1610,3178,1503,576,4902,583,3938,3482,88043,11293,37344,16036,1484,2389,4773,8071,3076,3576,51062,14716,643,14658,1253,7421,494,11877,127484,3239,2370,1300,3464,2528,2956,1253,7969,1312,3663,1424,1904,2937,1131,4130,1626,1083,3389,5345,1756,3883,2744,9787,2480,2110,2137,1725,3282,5370,481,593,2942,1549,730,3183,5225,3659,5351,740,2041,881,1201,486,5636,1464,303,2721,44583,5645,5361,610,2313,2828,2799,671,1384,2326,968,4524,5747,2347,3808,3253,50285,4835,610,580,1783,2955,1232,707,710,798,1727,2099,1240,1668,4185,2840,2142,5463,14709,94964,741,997,9581,646,7963,2665,1898,10057,6634,5047,6152,1990,7067,2248,11089,20188,149112,13978,15569,5218,6966,17987,1583,7809,2412,2664,16023,991,1778,2570,1494,12965,4572,34534,62853,3316,765,1711,8498,8094,4750,410,6308,8035,6280,2538,3307,1628,7215,58717,8394,5610,14707,3282,4915,13307,7077,1424,132698,5808,13844,3627,14458,17222,3154,7076,5248,5182,30847,5839,8877,11515
R16201,富山県,富山市,2.98,1070998,86928,24715,11357,21859,3642,3260,1300,5163,6175,2525,532,603,2786,3013,86998,4442,1434,501,1209,910,5690,1059,319,749,6745,2934,924,3516,1237,8069,5237,333,404,635,927,591,3172,2322,1239,383,6709,2100,1606,5130,1671,563,7296,942,2427,3573,90711,18174,32013,14888,3739,2278,5242,8761,2715,2902,48459,14764,482,14859,1146,6879,692,9636,118497,2986,2488,1405,3187,2457,2785,1056,7104,1184,3363,1105,1627,2789,980,3951,1068,783,3399,1458,1834,3462,2510,9325,2163,2309,1898,1614,3354,3259,602,395,3043,1324,1594,3015,5499,4240,5739,911,1508,1538,1479,733,5300,1715,343,2615,43764,5057,4215,1176,2198,3897,3128,597,826,1822,834,3062,5688,2352,4557,4356,47835,4713,673,407,1733,2286,995,740,681,627,1497,2041,1304,1392,4028,2770,2580,5473,13896,99621,890,862,11637,819,8027,2619,1847,11471,7771,5384,6219,2325,7757,2624,11262,18106,167741,13378,17847,4569,7045,18649,2622,8017,2966,3462,16414,891,1964,2981,1376,14539,10708,40315,69147,2327,627,1643,10333,7718,6521,434,9089,7824,5099,2944,3123,1902,9562,53054,7358,5802,14110,3016,4428,10866,6214,1260,158242,7185,9113,2516,17453,28886,5184,13558,8464,5688,28580,6713,14003,10900
R17201,石川県,金沢市,3.19,1067957,87080,23811,11923,23309,3974,2219,1417,5090,5458,2188,647,675,3065,3305,77793,3165,1479,800,982,1671,4603,1132,315,1050,5444,2282,1043,3209,3734,8395,4055,426,361,813,790,451,2207,1792,1112,311,5754,1885,1662,3440,1366,569,4592,1107,2516,3275,101225,23613,34572,17040,4325,2730,5079,8284,2611,2971,49751,15735,885,12185,1536,7883,819,10707,112837,2612,2380,1307,3349,2297,2618,1066,7030,1454,3109,681,1626,2706,880,3774,1682,688,3014,1800,1824,3505,2534,8761,2298,2124,1590,1438,3022,3366,365,257,3175,1295,1046,3418,5110,4253,4727,894,1612,1102,1297,592,4933,1400,508,2316,42584,4776,4653,736,2118,2285,4084,949,1031,1815,758,3291,5527,2237,4416,3910,48465,4902,603,493,1753,1996,1063,576,611,735,1610,2086,1193,1546,4217,2594,2125,5777,14587,110177,736,1265,14022,892,9370,2328,2057,12776,6618,5222,7514,2599,7751,2985,13209,20835,151294,13448,17114,5278,6814,17524,3369,5025,2614,2548,13541,764,1942,3275,1318,12413,6260,38047,65755,2892,643,1743,7981,8627,5047,482,7342,7240,7930,2648,2758,1847,8576,45890,7272,4684,11765,2091,3761,8810,5991,1517,175106,7065,8625,2119,22802,29170,4769,12989,9260,5070,36054,8484,11098,17600
R18201,福井県,福井市,2.99,941113,80235,25272,9024,21741,3796,2432,1136,4159,4638,1954,362,504,2786,2429,69859,2443,805,481,866,1485,4444,912,198,568,4068,2201,1286,2193,3221,5873,6275,353,317,439,643,310,1895,1854,1799,312,6049,2029,2000,3136,1715,733,2722,834,2143,3261,92742,23302,27611,15976,3426,3197,5012,7803,2267,4148,46207,14992,399,12607,1017,5283,626,11283,105971,2420,2486,1130,2722,2156,2314,928,5588,1270,3212,1524,1505,2237,728,3500,785,551,3190,1160,1397,3467,2266,8692,1651,1946,1664,1349,2106,2899,558,268,2712,1816,1454,2828,5027,5593,4316,828,1668,1241,1010,439,5082,1947,446,1895,36946,3981,5120,440,1929,1866,2680,677,564,1382,777,2807,5222,2384,3778,3340,40307,3762,642,499,1544,2048,1007,856,684,626,1573,1823,829,1323,2850,2367,2217,4487,11169,90051,1466,617,11110,667,6734,1910,1584,8105,7634,4246,6158,2046,6069,2498,10206,19001,150642,11765,15650,4722,5253,14429,1685,6257,3216,4039,17456,830,2053,3834,1703,9379,4708,43665,54397,2375,459,1389,6448,6664,5612,298,6363,5937,5813,2082,2678,1365,6915,39328,6345,4684,11589,2053,1983,7336,4234,1105,134428,5391,7148,1357,15459,22116,3210,8362,8400,4057,31760,5379,8222,13568
R19201,山梨県,甲府市,2.85,958026,77583,21108,8989,21657,4144,1789,1298,4794,5814,1913,628,528,1821,3099,74838,8291,809,152,986,510,4844,863,318,493,1641,2048,904,2583,1084,4496,3255,772,547,516,1196,484,3133,2420,2536,1138,6318,1904,1964,2876,1573,728,5113,1109,2869,4365,84946,15231,31962,14726,2246,3037,4427,7600,2616,3101,47748,12958,1377,14751,1106,6341,739,10476,103610,2568,1799,1041,3059,2622,2425,869,6162,1031,2676,786,1670,2322,929,3376,1180,616,3522,1604,1617,3989,1758,7228,1975,1900,1865,1086,2396,4596,426,207,2647,1607,562,2573,4477,2260,5125,808,1472,1210,1184,723,5787,1258,429,2189,42851,3327,5114,525,2300,868,7206,855,2575,1204,618,3441,5002,1560,4409,3846,45064,4503,644,428,1553,1917,969,701,678,642,1480,2416,1316,1301,3784,2346,1815,5047,13524,89163,686,662,8769,775,6953,2240,1988,9714,4998,4240,5873,2260,6214,2353,10730,20707,155582,18448,16273,5952,6859,20159,2113,6904,2290,3052,14044,1305,2080,3456,2008,8737,1973,39927,64282,3268,805,1437,9237,6853,4784,352,7502,7310,5135,3009,3208,1690,9692,40233,5919,5541,8801,3419,3674,7246,4347,1287,132126,5709,7322,2913,13393,21236,3560,9542,4784,6054,34694,7190,6874,8854
R20201,長野県,長野市,2.86,957055,77713,20809,9002,20664,4589,2343,1406,4774,5607,2000,779,989,1707,3046,72926,4786,571,280,950,952,5288,749,479,631,2180,1838,872,2377,1098,4941,4671,489,193,512,1073,231,3581,2449,1710,628,6296,1892,2198,3221,1543,726,4711,1676,3652,3481,76696,12267,30386,12656,1874,1710,4827,7432,2972,2572,50001,15637,325,13522,1171,7786,633,10927,107769,2797,1726,1083,2148,2082,2460,810,7247,1168,2375,758,1774,2422,889,3492,1158,784,3589,1505,1710,3680,1894,7161,2059,1761,2065,1645,3209,4388,545,335,2465,1944,763,3095,5025,2811,5702,1146,1766,1378,1094,428,5133,1707,495,2099,45478,8742,4003,406,2699,911,4980,521,2653,1594,687,3310,4922,1557,4271,4224,50070,5179,642,489,1638,2601,1282,1040,653,645,1650,2497,1431,1447,4429,2664,1762,5183,14838,91490,1124,531,9206,772,7138,2275,1574,7943,6598,3698,5019,2011,6544,1842,12064,23152,141199,17199,14388,5287,7695,19217,2109,5137,1809,2219,11658,1181,1956,2424,1039,11792,994,35096,58912,3470,656,1297,7387,8103,5273,327,5856,6300,4275,2372,3380,1376,8843,44147,7192,5315,11763,2278,3583,8228,4324,1464,140653,6496,8199,2087,14577,16446,3345,8952,5792,5140,39779,5905,10955,12982
R21201,岐阜県,岐阜市,2.94,989959,77553,20926,11048,20390,3462,2010,1304,4340,4839,2072,681,611,2312,3560,67641,3934,675,347,1083,713,5156,833,398,1114,2988,1731,1052,3160,1610,4462,3917,432,209,722,1050,397,1773,1511,1816,528,5913,1707,2022,3228,1861,865,2769,1485,3123,3057,91147,21259,29680,15677,3149,2218,5743,8093,2334,2995,50184,13579,742,14988,1225,6444,637,12569,99346,2265,2102,1085,3231,2099,2307,884,5561,1121,2591,947,1490,2209,898,3570,958,431,2681,1680,1484,3038,1929,7920,1921,2286,1570,1366,2236,3136,552,484,2870,1119,560,2949,4986,2744,4269,855,1498,1196,1118,409,4665,1449,436,2189,39806,4558,4507,435,1655,1175,3126,2126,878,1333,544,3521,5721,2245,4460,3524,46612,4416,698,452,1807,1763,1185,774,736,705,1520,2216,1278,1285,4254,2590,2060,5438,13433,97545,421,1038,13137,654,8252,2438,1907,10753,6740,4827,7587,2652,7570,2400,10328,16842,137231,14617,14469,5301,5256,16632,3049,6062,2141,2080,12400,882,1996,1587,1595,9874,5691,33599,61896,2607,806,1510,8874,7386,6214,352,7644,5846,6619,2345,3285,1649,6758,36894,4201,4446,9793,1548,3337,7753,4835,981,184105,7908,7143,2867,19752,40232,8220,17470,9043,6169,33169,14400,7212,10522
R22100,静岡県,静岡市,2.91,1037144,84820,27075,9823,22332,3084,2244,1449,5022,5407,1903,943,619,1601,3318,77136,10426,1040,265,1564,495,4886,901,333,488,1782,1571,988,2830,1757,4566,4717,633,335,702,1002,412,2440,1542,3228,1168,5465,2163,1694,2862,2775,1058,3107,1727,3164,3050,94745,16511,35210,17688,2899,2910,5057,7943,3235,3293,49784,13356,842,15080,1487,7272,610,11135,115605,3349,2134,1328,4221,3305,2690,1024,6540,1391,3640,927,1936,2491,892,4223,1572,774,3335,2344,1844,3457,2231,8664,2395,2020,1814,1168,2573,4271,335,726,2983,1545,783,2445,6053,3013,4795,935,1784,1030,1133,715,4786,1144,331,2516,40576,4321,5142,376,2379,1087,2815,818,1373,1427,916,4701,5419,1888,4110,3801,47785,4438,619,452,1433,2302,1052,754,804,713,1400,2358,1333,1397,4432,3169,1931,4836,14361,97191,992,811,10616,800,7149,2384,1939,11674,6108,5582,6360,2385,6536,2645,10990,20219,159370,22651,16240,5499,7490,19417,3042,6957,2438,2399,13888,1402,2013,2715,2065,10679,4626,35850,63188,8815,758,1151,7030,6167,4134,386,7147,6115,4840,2166,4412,1409,8658,43733,5505,5165,11736,3591,3983,7576,4407,1770,163211,9446,7250,3000,19768,28124,5872,14180,6776,6352,31607,5902,13034,11901
R23100,愛知県,名古屋市,2.92,1037653,81685,20555,11596,22279,4485,1797,1431,4993,5024,2112,685,676,2043,4007,72919,6489,971,384,1210,679,5110,915,332,1016,2933,1736,1087,3329,1156,7292,4164,660,220,901,971,332,1783,1545,1436,632,6120,1891,2108,2898,2205,857,2421,1177,2891,3069,97971,24711,31137,17271,3380,2555,5498,8086,2551,2783,51159,16003,967,15099,1285,6139,671,10995,110007,2824,2138,1303,4010,2500,2334,872,6766,1379,3013,1234,1636,2527,939,3912,1084,712,3260,2022,1802,3305,2412,8906,2395,2071,1588,1307,2478,4881,399,431,3127,1296,531,2890,5405,2692,3938,827,1668,1173,1130,477,4669,1137,427,2184,42576,4509,4365,605,1818,1540,3209,1019,877,1961,804,3654,5960,2601,6159,3493,46297,4842,715,373,1645,1850,982,711,790,719,1504,1848,1359,1252,3929,2622,1783,5318,14055,96575,693,1535,11108,811,7734,2204,1904,10353,6759,4415,5407,2134,6794,2149,10405,22171,142608,16618,16074,5595,5522,18562,3316,5792,2202,1889,11254,1141,2039,1831,1813,8371,2494,38095,59270,3532,877,1716,7717,7273,5011,435,6669,5836,5615,2289,3794,1296,7211,37768,4680,5957,8742,2088,2935,7110,5035,1220,198819,7251,6489,2996,17974,32905,6252,16559,10410,6077,61702,12308,9418,8476
R24201,三重県,津市,2.91,966557,74330,16386,10352,22470,3671,2129,1363,4465,4651,2156,599,773,1846,3469,76093,5779,968,537,1760,506,5275,841,487,949,3792,1647,1236,3567,2209,6786,4663,501,90,1068,1108,500,1837,1255,1564,569,6666,2103,2098,3005,1942,1034,2273,1448,3059,2973,104590,32927,29927,17293,3364,2637,4530,8276,2434,3204,51439,16057,1104,15032,1243,5813,681,11509,96207,2374,1581,1159,3388,2119,2040,862,5501,1243,2199,588,1339,2335,985,3342,859,438,2990,1416,1486,2265,1872,7524,1994,1981,1610,1302,2156,3782,321,348,2853,1286,549,2984,4975,3140,4054,980,1509,1131,1061,404,4208,1114,426,2132,41896,4547,5272,353,1472,2544,3427,1127,711,1020,949,4208,6030,2212,3709,4316,45871,4342,628,414,2020,1963,1114,885,739,641,1542,1982,1271,1216,3788,2669,1876,5281,13501,96423,611,850,11578,1170,8069,1889,1698,9572,7324,4126,5524,2113,7002,2249,9946,22702,135775,17408,15509,4526,5194,16159,2416,4565,2419,1690,10545,916,1837,1354,1446,8890,2852,38049,59137,3157,580,1443,8216,6815,4780,407,6955,5774,5637,2468,3100,1354,8451,37003,4780,5536,10519,1292,2407,5985,5245,1240,147792,3997,5054,1667,13024,21497,3896,6817,6366,5260,56166,6401,8842,8808
R25201,滋賀県,大津市,2.89,1045999,86334,21235,11761,26461,4047,1865,1400,4347,5345,2330,797,745,1758,4241,75188,3890,924,410,1501,1537,5025,924,416,1453,3507,1714,1244,3191,1755,7454,4687,349,229,654,832,255,2202,2112,1798,568,7380,2389,2125,2527,1364,964,2727,1418,2551,3112,111844,33097,32006,20211,4146,2781,6139,8185,2447,2831,52465,16023,807,13584,1436,7472,706,12436,116930,2933,2516,1508,3922,2681,2450,955,6955,1611,3168,860,1693,2448,1001,4483,1190,650,3632,1955,1612,3104,2382,9053,2528,2086,1973,1300,2559,4968,386,306,3236,1319,1121,3070,5348,3734,4241,974,1723,1508,1017,609,5824,1689,399,2246,39461,4811,4170,530,2523,1397,2875,1079,774,1420,631,3196,5994,2012,4308,3740,49732,4872,775,521,1922,2230,1085,894,925,705,1583,2380,1635,1331,3854,2909,1777,5361,14971,103403,657,559,11355,755,8044,1999,1955,12801,6405,5729,6018,2596,7123,2511,11194,23702,147197,14149,15231,4842,6036,17906,3131,5386,3020,2240,11685,1085,2451,1727,1542,9100,8296,39370,59765,2875,1013,1681,6254,9846,5231,424,7233,6454,3819,2292,3740,1199,7705,41544,5338,4397,12560,1672,3250,8810,4274,1242,162137,5851,6325,2130,12906,19724,5072,8953,6619,6445,57163,8589,10312,12049
R26100,京都府,京都市,2.86,1065735,86535,22196,12555,26702,4283,1969,1384,4351,4242,2220,550,730,2039,3314,78738,3675,1093,456,1666,1741,5383,1069,386,1841,3652,2257,1521,3430,1853,8252,4235,428,303,1084,1041,303,1767,1971,2277,600,7472,2184,1993,2721,1181,861,2963,1614,2624,2839,115301,36937,31888,21128,3939,3601,5515,6794,2462,3037,54110,18581,856,12459,1798,7326,890,12201,123290,2950,2393,1670,4117,2664,2572,964,7417,1531,3306,860,2054,2743,1060,4780,1247,1178,3794,2491,1760,3330,2842,9397,3005,2235,1822,1118,2581,4590,442,349,2932,1423,1159,3385,5341,4208,3665,1259,1764,1533,970,586,7667,1309,597,2231,43725,5293,4334,532,2369,1379,3398,1394,1184,1822,736,3837,6328,2753,4547,3817,49042,4924,647,441,1890,2082,954,985,886,667,1502,2125,1643,1261,3859,3150,1582,5931,14511,99577,728,622,11838,934,7856,2005,1704,11084,6817,4792,4600,2469,7173,2122,10769,24063,146683,13816,16686,4746,6506,17907,4504,5252,2817,2294,11052,963,2623,1695,1599,9865,5138,39219,59300,3643,1104,2095,5714,9273,4781,362,7304,6559,3919,2333,3696,1246,7271,47876,6477,5243,13796,2860,4169,8656,4557,2118,161558,4558,5282,1921,15613,19118,5232,10097,7124,5317,62920,8882,7258,8238
R27100,大阪府,大阪市,2.89,1025547,85215,22920,11542,24527,3872,1719,1182,4146,6446,2557,598,609,1553,3544,79997,4648,992,301,1658,1391,4662,737,262,1884,3912,2322,1574,4046,2853,9226,4527,423,232,825,1210,395,2415,1882,1358,302,7348,2756,2095,2841,1179,743,2292,1122,2190,3395,115021,34227,33143,20392,4284,4799,4724,7761,2163,3527,48656,15184,1476,12004,1304,6006,670,12013,111770,2667,2199,1761,4020,2676,2224,1119,7138,1293,3105,767,1775,2334,859,4279,1328,817,3231,1761,1500,3273,2245,8655,2585,1968,1707,1199,2298,5418,360,303,2788,1296,874,2528,4981,3306,2935,1125,1757,1647,1137,703,6077,1251,337,2164,39600,4040,3657,462,2138,1529,3284,1193,1174,1489,758,3567,5722,2078,5329,3180,46624,4138,845,358,1581,1733,932,506,870,676,1628,1993,1309,1275,4036,2584,1537,6235,14384,93514,421,513,9519,816,6981,2006,1624,11509,6053,4342,5959,2362,6680,2547,11248,20935,156796,15730,17066,5452,6326,20558,3238,6812,2489,2429,13032,1142,2229,2232,1696,9428,2567,44371,61669,2264,744,1645,7489,7037,5154,324,7058,7618,5915,3520,4094,1453,7356,45346,5197,5025,10944,1824,2833,11407,6556,1559,141338,4146,4660,2047,14700,23363,5185,7778,6879,6263,48980,7560,8502,1277
