state,fulltime_before,parttime_before,wage_before,fulltime_after,parttime_after,wage_after,full_prop_before,full_prop_after
NJ,5,42,5,7,30,5.05,0.10638297872340426,0.1891891891891892
NJ,8,19,5,0,30,5.05,0.2962962962962963,0
NJ,23,10,5,5,21,5.05,0.696969696969697,0.19230769230769232
NJ,0,10,5,10,4,5.05,0,0.7142857142857143
NJ,15,35,5.1,15,15,5.05,0.3,0.5
NJ,25,10,5.25,12,10,5.05,0.7142857142857143,0.5454545454545454
NJ,15,8,5.5,8,12,5.05,0.6521739130434783,0.4
NJ,13,12,5,15,15,5.05,0.52,0.5
NJ,10,18,5,0,42.5,5.05,0.35714285714285715,0
NJ,0,13,5,0,15,5.05,0,0
NJ,4,11,5.05,2,14,5.25,0.26666666666666666,0.125
NJ,0,15,5.5,3,7,5.05,0,0.3
NJ,5,10,5,5,15,5.05,0.3333333333333333,0.25
NJ,5,16,5.3,4,9,5.05,0.23809523809523808,0.3076923076923077
NJ,3,8,5,6,12,5.05,0.2727272727272727,0.3333333333333333
NJ,8,12,5,2,7,5.05,0.4,0.2222222222222222
NJ,5,9,5,4,6,5.05,0.35714285714285715,0.4
NJ,3,14,5,4,11,5.05,0.17647058823529413,0.26666666666666666
NJ,20,46,5.25,22,39,5.05,0.30303030303030304,0.36065573770491804
NJ,18,45,5.15,0,45,5.05,0.2857142857142857,0
NJ,4,16,5.42,3,20,5.67,0.2,0.13043478260869565
NJ,10,10,5,0,20,5.05,0.5,0
NJ,2.5,27,5,0,20,5.05,0.0847457627118644,0
NJ,14,7,5.06,9,7,5.05,0.6666666666666666,0.5625
NJ,11.5,10,5.05,0,28,5.05,0.5348837209302325,0
NJ,4.5,20,5,21,6,5.25,0.1836734693877551,0.7777777777777778
NJ,12,23,5,11,22,5.25,0.34285714285714286,0.3333333333333333
NJ,14,12,5,18,15,5.05,0.5384615384615384,0.5454545454545454
NJ,25,10,5.25,0,25,5.5,0.7142857142857143,0
NJ,10,8,5,20,15,5.05,0.5555555555555556,0.5714285714285714
NJ,10,20,5,15,15,5.05,0.3333333333333333,0.5
NJ,13,31,5.05,11,23,5.05,0.29545454545454547,0.3235294117647059
NJ,12,35,5,17,22,5.5,0.2553191489361702,0.4358974358974359
NJ,5,10,5.75,8,7,5.5,0.3333333333333333,0.5333333333333333
NJ,3,60,5,0,15,5.05,0.047619047619047616,0
NJ,16,30,4.5,20,40,5.05,0.34782608695652173,0.3333333333333333
NJ,10,6,4.75,7.5,10,5.25,0.625,0.42857142857142855
NJ,6,13,4.25,4,7,5.05,0.3157894736842105,0.36363636363636365
NJ,10,12,4.75,5,30,5.05,0.45454545454545453,0.14285714285714285
NJ,5,30,4.5,10,30,5.15,0.14285714285714285,0.25
NJ,12,40,4.37,0,32,5.05,0.23076923076923078,0
NJ,15,20,4.25,15,15,5.05,0.42857142857142855,0.5
NJ,10,30,4.25,12,24,5.05,0.25,0.3333333333333333
NJ,6.5,23.5,4.37,15,15,5.05,0.21666666666666667,0.5
NJ,0,25,4.5,2,11,5,0,0.15384615384615385
NJ,3,25,4.6,5,20,5.05,0.10714285714285714,0.2
NJ,6,22,4.5,7,17,5.05,0.21428571428571427,0.2916666666666667
NJ,0,20,4.37,4,35,5.05,0,0.10256410256410256
NJ,15,25,4.25,8,38,5.05,0.375,0.17391304347826086
NJ,4,31,4.25,6,44,5.05,0.11428571428571428,0.12
NJ,5,12,4.45,0,11,5.05,0.29411764705882354,0
NJ,3,15,4.35,3,15,5.05,0.16666666666666666,0.16666666666666666
NJ,0,25,4.5,14,14,5.05,0,0.5
NJ,15,15,4.75,15,20,5.05,0.5,0.42857142857142855
NJ,0,7,4.5,0,13,5.05,0,0
NJ,10,20.5,4.5,2,25,5.05,0.32786885245901637,0.07407407407407407
NJ,5,15,4.95,11,7,5.05,0.25,0.6111111111111112
NJ,25,6.5,4.5,13,18,5.05,0.7936507936507936,0.41935483870967744
NJ,15,20,4.25,10,20,5.05,0.42857142857142855,0.3333333333333333
NJ,26,6,4.25,15,10,5.05,0.8125,0.6
NJ,20,15,4.5,13,13,5.05,0.5714285714285714,0.5
NJ,15,18,4.25,26,10,5.05,0.45454545454545453,0.7222222222222222
NJ,5,15,4.5,4,17.5,5.05,0.25,0.18604651162790697
NJ,30,10,4.25,13,17,5.05,0.75,0.43333333333333335
NJ,0,27,4.25,0,27,5.05,0,0
NJ,35,20,4.5,10,30,5.05,0.6363636363636364,0.25
NJ,0,35,4.75,29,14,5.05,0,0.6744186046511628
NJ,0,7,4.25,14,0,5.05,0,1
NJ,3,15,4.25,4,11,5.05,0.16666666666666666,0.26666666666666666
NJ,8,32,4.25,25,15,5.05,0.2,0.625
NJ,6,25,4.5,8,18,5.05,0.1935483870967742,0.3076923076923077
NJ,4.5,20,4.25,11,14,5.05,0.1836734693877551,0.44
NJ,4,30,4.5,12,30,5.05,0.11764705882352941,0.2857142857142857
NJ,11,11,4.25,9,12,5.05,0.5,0.42857142857142855
NJ,0,15,4.5,0,30,5.05,0,0
NJ,3,35,4.25,4,37,5.05,0.07894736842105263,0.0975609756097561
NJ,8,22,4.25,0,30,5.05,0.26666666666666666,0
NJ,4,18,4.25,14,6,5.05,0.18181818181818182,0.7
NJ,2.5,30,4.25,5,25,5.05,0.07692307692307693,0.16666666666666666
NJ,18,3,4.25,0,14,5.05,0.8571428571428571,0
NJ,0,15,4.25,0,15,5.05,0,0
NJ,0,12,4.25,2.5,11,5.05,0,0.18518518518518517
NJ,0,20,4.25,3,13,5.05,0,0.1875
NJ,60,40,4.75,30,50,5.05,0.6,0.375
NJ,4.5,15,4.75,10,12,5.05,0.23076923076923078,0.45454545454545453
NJ,12,13,4.4,0,27,5.05,0.48,0
NJ,40,20,4.62,11,10,5.05,0.6666666666666666,0.5238095238095238
NJ,0,40,4.25,0,45,5.05,0,0
NJ,0,35,4.25,2,25,5.05,0,0.07407407407407407
NJ,6,11,4.25,13.5,10,5.05,0.35294117647058826,0.574468085106383
NJ,13.5,15,4.25,11,24,5.05,0.47368421052631576,0.3142857142857143
NJ,17,14,4.25,20,14.5,5.05,0.5483870967741935,0.5797101449275363
NJ,0,35,4.75,20,40,5.25,0,0.3333333333333333
NJ,20,25,4.75,6,15,5.05,0.4444444444444444,0.2857142857142857
NJ,4,22.5,4.25,22,12,5.05,0.1509433962264151,0.6470588235294118
NJ,10,15,4.25,18,20,5.05,0.4,0.47368421052631576
NJ,12,19,4.75,18,13,5.05,0.3870967741935484,0.5806451612903226
NJ,0,32,4.5,0,30,5.05,0,0
NJ,1,38,4.25,10,50,5.05,0.02564102564102564,0.16666666666666666
NJ,8,10,4.25,21,6,5.05,0.4444444444444444,0.7777777777777778
NJ,15,0,4.5,0,15,5.05,1,0
NJ,7,25.5,4.5,2,38,5.05,0.2153846153846154,0.05
NJ,20,20,4.5,15,20,5.5,0.5,0.42857142857142855
NJ,6,16,4.75,3,20,5.05,0.2727272727272727,0.13043478260869565
NJ,5.5,25,4.62,6,27.5,5.05,0.18032786885245902,0.1791044776119403
NJ,15,25,4.25,12,30,5.05,0.375,0.2857142857142857
NJ,0,40,4.5,5,35,5.67,0,0.125
NJ,10,15,4.75,10,25,5.05,0.4,0.2857142857142857
NJ,15,35,4.25,40,31,5.05,0.3,0.5633802816901409
NJ,8,20,4.8,0,32,5.05,0.2857142857142857,0
NJ,0,20,4.5,8,10,5.05,0,0.4444444444444444
NJ,0,27.5,4.67,12,20,5.75,0,0.375
NJ,8,15,4.87,2,18,5.05,0.34782608695652173,0.1
NJ,2,7,4.5,3,4,5.05,0.2222222222222222,0.42857142857142855
NJ,6,12,4.5,10,5,5.25,0.3333333333333333,0.6666666666666666
NJ,0,40,4.75,3,30,5.05,0,0.09090909090909091
NJ,8,32,4.75,0,35,5.05,0.2,0
NJ,5,20,4.25,0,32,5.25,0.2,0
NJ,2,32,4.25,10,12.5,5.05,0.058823529411764705,0.4444444444444444
NJ,0,24,4.75,7,23,5.05,0,0.23333333333333334
NJ,6,40,4.85,11,30,5.05,0.13043478260869565,0.2682926829268293
NJ,11,20,4.75,20,20,5.05,0.3548387096774194,0.5
NJ,15,21,4.62,20,27.5,5.05,0.4166666666666667,0.42105263157894735
NJ,13,12,4.25,1,10,5.05,0.52,0.09090909090909091
NJ,2,12,4.25,2,10,5.05,0.14285714285714285,0.16666666666666666
NJ,8,3,4.5,0,17.5,5.05,0.7272727272727273,0
NJ,3,15,4.5,0,15,5.05,0.16666666666666666,0
NJ,12,4,4.62,15,10,5.05,0.75,0.6
NJ,2,9,4.5,2,6,5.05,0.18181818181818182,0.25
NJ,10,20,4.75,12,18,5.05,0.3333333333333333,0.4
NJ,4,15,4.75,0,19,5.05,0.21052631578947367,0
NJ,20,10,4.87,4.5,30,5.25,0.6666666666666666,0.13043478260869565
NJ,1,13,4.5,4,9,5.05,0.07142857142857142,0.3076923076923077
NJ,0,30,4.25,8,25,5.05,0,0.24242424242424243
NJ,0,12,4.35,11,3,5.05,0,0.7857142857142857
NJ,0,60,4.25,5,40,5.05,0,0.1111111111111111
NJ,0,33,4.5,16,22,5.05,0,0.42105263157894735
NJ,30,14,4.25,13,11,5.05,0.6818181818181818,0.5416666666666666
NJ,9,12,4.25,4,34,5.05,0.42857142857142855,0.10526315789473684
NJ,10,8.5,4.25,12,13.5,5.05,0.5405405405405406,0.47058823529411764
NJ,8,10,4.75,8.5,6,5.2,0.4444444444444444,0.5862068965517241
NJ,12,32,4.62,5,32,5.05,0.2727272727272727,0.13513513513513514
NJ,4,36,4.25,6,37,5.05,0.1,0.13953488372093023
NJ,0,19,4.5,0,14,5.05,0,0
NJ,3,28,4.5,2,35,5.05,0.0967741935483871,0.05405405405405406
NJ,11,17.5,4.5,20,15,5.05,0.38596491228070173,0.5714285714285714
NJ,4.5,20,4.55,12,17.5,5.05,0.1836734693877551,0.4067796610169492
NJ,2,30,4.62,0,35,5.05,0.0625,0
NJ,10,10,4.5,20,10,5.05,0.5,0.6666666666666666
NJ,2,11,4.25,2,18,5.05,0.15384615384615385,0.1
NJ,2,13,4.25,0,12,5.05,0.13333333333333333,0
NJ,7,4,4.35,5,3,5.05,0.6363636363636364,0.625
NJ,3,9,4.25,9,9,5.05,0.25,0.5
NJ,3,15,4.25,3,12,5.05,0.16666666666666666,0.2
NJ,1,28,4.6,1,15,5.05,0.034482758620689655,0.0625
NJ,2,24,4.25,2,15,5.05,0.07692307692307693,0.11764705882352941
NJ,3,18,4.75,3,20,5.05,0.14285714285714285,0.13043478260869565
NJ,3,27,4.75,12,25,5.05,0.1,0.32432432432432434
NJ,0,22,4.25,0,26,5.3,0,0
NJ,3,28.5,4.5,11,19,5.05,0.09523809523809523,0.36666666666666664
NJ,3,40,4.5,22,11,5.5,0.06976744186046512,0.6666666666666666
NJ,0,25,4.25,15,17,5.05,0,0.46875
NJ,18,6,4.75,18,10,5.05,0.75,0.6428571428571429
NJ,19,7,4.65,15,7,5.05,0.7307692307692307,0.6818181818181818
NJ,12,11,4.25,9,17,5.05,0.5217391304347826,0.34615384615384615
NJ,0,22,4.75,25,15,5.05,0,0.625
NJ,15,4,4.25,0,19,5.05,0.7894736842105263,0
NJ,7,25,4.5,7,22,5.05,0.21875,0.2413793103448276
NJ,12,30,4.25,16,12,5.05,0.2857142857142857,0.5714285714285714
NJ,0,40,4.5,0,40,5.05,0,0
NJ,8,16,4.75,10,14,5.05,0.3333333333333333,0.4166666666666667
NJ,6,6,4.37,10,12,5.05,0.5,0.45454545454545453
NJ,1,4,4.5,2,4,5.05,0.2,0.3333333333333333
NJ,7,7,4.87,4,8,5.05,0.5,0.3333333333333333
NJ,4,22,4.25,20,18,5.05,0.15384615384615385,0.5263157894736842
NJ,10,20,4.25,4,26,5.05,0.3333333333333333,0.13333333333333333
NJ,7,13,4.25,0,22.5,5.05,0.35,0
NJ,0,10,4.25,0,23,5.05,0,0
NJ,6.5,20,4.25,30,25,5.05,0.24528301886792453,0.5454545454545454
NJ,2,10,4.45,10,3,5.05,0.16666666666666666,0.7692307692307693
NJ,2,14,4.62,2,11,5.05,0.125,0.15384615384615385
NJ,4,4,4.25,1,8,5.05,0.5,0.1111111111111111
NJ,2,15,4.25,1,14,5.05,0.11764705882352941,0.06666666666666667
NJ,3,4,4.25,0,9,5.05,0.42857142857142855,0
NJ,5,23,4.5,6,12,5.05,0.17857142857142858,0.3333333333333333
NJ,3,25,4.75,3,15,5.05,0.10714285714285714,0.16666666666666666
NJ,1,15,4.75,2,15,5.05,0.0625,0.11764705882352941
NJ,3,18,4.5,2,15,5.05,0.14285714285714285,0.11764705882352941
NJ,0,20,4.75,5,9,5.05,0,0.35714285714285715
NJ,2,12,4.25,3,10,5.05,0.14285714285714285,0.23076923076923078
NJ,8,12,4.75,0,23,5.05,0.4,0
NJ,4,20,4.55,5,16,5.1,0.16666666666666666,0.23809523809523808
NJ,10,15,4.8,15,11,5.05,0.4,0.5769230769230769
NJ,9,15,4.25,15,30,5.05,0.375,0.3333333333333333
NJ,10,35,4.35,12,35,5.05,0.2222222222222222,0.2553191489361702
NJ,10,20,4.5,10,15,5.05,0.3333333333333333,0.4
NJ,0,20,4.39,5,22,5.05,0,0.18518518518518517
NJ,17.5,17.5,4.25,25,25,5.2,0.5,0.5
NJ,0,28,4.25,3,23,5.05,0,0.11538461538461539
NJ,4,6,4.25,3,2,5.05,0.4,0.6
NJ,11,9,4.5,0,30,5.05,0.55,0
NJ,8,12,4.62,15,6,5.25,0.4,0.7142857142857143
NJ,15,15,4.62,12,14,5.05,0.5,0.46153846153846156
NJ,0,8,4.25,4,0,5.05,0,1
NJ,5,7,4.75,7,6,5.05,0.4166666666666667,0.5384615384615384
NJ,0,11,4.62,22,4,5.05,0,0.8461538461538461
NJ,8,13,4.75,12,5,5.05,0.38095238095238093,0.7058823529411765
NJ,4,15,4.5,1,15,5.05,0.21052631578947367,0.0625
NJ,2,16.5,4.25,3,20,5.05,0.10810810810810811,0.13043478260869565
NJ,28,12,4.5,10,20,5.05,0.7,0.3333333333333333
NJ,5,29.5,4.87,25,5,5.05,0.14492753623188406,0.8333333333333334
NJ,18,6,4.25,5,9,5.05,0.75,0.35714285714285715
NJ,6,30,4.25,15,17,5.05,0.16666666666666666,0.46875
NJ,2,7,4.62,3,7,5.05,0.2222222222222222,0.3
NJ,10,6,4.75,4,11,5.05,0.625,0.26666666666666666
NJ,8,9,4.75,5,20,5.05,0.47058823529411764,0.2
NJ,2,27.5,4.25,10,20,5.05,0.06779661016949153,0.3333333333333333
NJ,0,22,4.25,0,26,5.05,0,0
NJ,3,25,4.25,5,32,5.05,0.10714285714285714,0.13513513513513514
NJ,6,13,4.25,4,23,5.05,0.3157894736842105,0.14814814814814814
NJ,6,13,4.25,24,4,5.05,0.3157894736842105,0.8571428571428571
NJ,0,25,4.25,14,7,5.2,0,0.6666666666666666
NJ,3.5,20,4.25,1,30,5.05,0.14893617021276595,0.03225806451612903
NJ,2,17,4.5,1,19,5.05,0.10526315789473684,0.05
NJ,0,20,4.25,0,25,5.05,0,0
NJ,20,11.5,4.85,26,5,5.05,0.6349206349206349,0.8387096774193549
NJ,4,10,4.5,0,17,5.05,0.2857142857142857,0
NJ,12,6,4.25,11,12,5.05,0.6666666666666666,0.4782608695652174
NJ,20,12,4.62,28,6,5.05,0.625,0.8235294117647058
NJ,10,15,4.5,15,14,5.05,0.4,0.5172413793103449
NJ,6,4,4.5,7,2,5.05,0.6,0.7777777777777778
NJ,16,14,4.25,15,14,5.05,0.5333333333333333,0.5172413793103449
NJ,0,19,4.25,14,10,5.05,0,0.5833333333333334
NJ,15,5,4.25,12,7,5.05,0.75,0.631578947368421
NJ,4,10,4.62,18,4,5.25,0.2857142857142857,0.8181818181818182
NJ,24,16,4.87,8,30,5.4,0.6,0.21052631578947367
NJ,4,28,4.25,6,15,5.05,0.125,0.2857142857142857
NJ,14,13,4.75,25,15,5.05,0.5185185185185185,0.625
NJ,13,8,4.87,18,18,5.05,0.6190476190476191,0.5
NJ,16,15,4.5,8,24,5.05,0.5161290322580645,0.25
NJ,8,6,4.25,5,27,5.05,0.5714285714285714,0.15625
NJ,11,10,4.75,17,5,5.05,0.5238095238095238,0.7727272727272727
NJ,6,17,4.32,1.5,15,5.05,0.2608695652173913,0.09090909090909091
NJ,0,35,4.25,0,35,5.05,0,0
NJ,0,36,4.5,4,36,5.05,0,0.1
NJ,0,17,4.5,0,13,5.05,0,0
NJ,0,36,4.25,0,20,5.05,0,0
NJ,0,36,4.25,13,9,5.05,0,0.5909090909090909
NJ,8,32,4.25,0,38,5.05,0.2,0
NJ,4,28,4.25,13,17,5.05,0.125,0.43333333333333335
NJ,30,15,4.25,0,35,5.05,0.6666666666666666,0
NJ,3,10,4.25,5,5,5.05,0.23076923076923078,0.5
NJ,20,10,4.62,25,7,5.05,0.6666666666666666,0.78125
NJ,0,7,4.75,5,10,5.05,0,0.3333333333333333
NJ,2,10,4.95,19,3.5,5.25,0.16666666666666666,0.8444444444444444
NJ,3.5,6.5,4.75,12,3,5.25,0.35,0.8
NJ,3,33,4.25,5,25,5.05,0.08333333333333333,0.16666666666666666
NJ,7,8,4.75,0,35,5.05,0.4666666666666667,0
NJ,0,33,4.62,10,24,5.14,0,0.29411764705882354
